case_id,score,defect_flags,vs_deepseek_judgment,ideal_answer_skeleton,confidence,reasoning
eval-lab-v1-A04,4,no_next_action,strict_added,1.新申请适用新政5项要件(3000万/常勤职员/学历/N2/独立事务所)，过渡措置不适用变更申请 | 2.人文签下不可同时从事经营，活動実態消失风险须提前规划 | 3.公司设立完成后才能申请变更，辞职与获批之间不可出现空白期 | 4.在留期限剩余不足时审查更严 | 5.带资本金/聘用/学历/N2证明找熟悉新政的行政书士评估,0.82,TEBIQ正确识别2025年10月改正的3000万要件，DeepSeek仍引用500万旧标准，这是核心事实增量。答案覆盖新政5项要件、活動実態消失风险和申请时机，整体扎实。略有欠缺：若申请人5项条件不足，答案没有给出任何替代路径提示，用户只知道当前阶段不行但不知道如何调整。
eval-lab-v1-A06,3,missing_fact_not_asked,tied,1.工作内容须属专业性范畴，排除单纯体力劳动 | 2.学历(大学以上)或实务经验须与职务有明确关联性 | 3.报酬须与同等日本人标准相当（实务中常见被拒理由） | 4.雇主财务稳定性和雇佣必要性会被重点审查 | 5.内定前后在留期限衔接与资格外活動許可状态,0.75,答案覆盖工作内容、学历要求、雇主审查和时机等主要维度，以追问方式核实用户现状体现了TEBIQ咨询逻辑。但遗漏了薪资水平要求这一实务中常见被拒理由，DeepSeek明确列出了月薪参考底线。整体信息密度相当，判定tied，未提及薪资属missing_fact_not_asked。
eval-lab-v1-B05,3,missing_fact_not_asked,tied,1.赤字本身不是直接否决项，核心看経営実態是否持续 | 2.活動実態消失(无交易/无员工/长期停業)才是真正风险红线 | 3.公共义务履行(年金・健保・住民税按期纳付，不得滞纳)是必须满足的基础条件 | 4.过渡措置期内综合判断，须附改善计划 | 5.带决算书+事业计划找行政书士做更新前评估,0.78,TEBIQ正确强调了活動実態而非单纯财务数字，引入过渡措置政策背景是加分项。但完全遗漏了公共义务履行(年金・健康保険・住民税按期缴纳)这一经管签更新的核心审查点，DeepSeek明确列出，TEBIQ完全未及。实务中滞纳记录是导致不许可的高频原因，属missing_fact_not_asked。整体信息密度相当，判定tied。
eval-lab-v1-B06,4,shallow_answer,strict_added,1.区分新申请(须满足新政3000万等全部要件)vs既存更新(过渡措置期至2028年10月) | 2.过渡措置期不强制立即达到3000万，但综合判断经营状况 | 3.审查核心是経営実態：持续亏损+无员工+无活动実態才是真正风险组合 | 4.改善の見込み须用具体材料证明(事业计划书/新契约/常勤职员计划等) | 5.带最新决算书+事业计划找行政书士做更新前风险评估,0.8,TEBIQ正确区分新申请与更新路径，引入2025年10月改正及过渡措置框架，纠正了DeepSeek仍用500万旧标准的偏差。资本金数字不等于唯一标准、経営実態才是关键的判断方向正确。略欠缺：没有具体说明改善の見込み在实务中需要哪些材料来证明，用户知道方向但不知道怎么举证。
eval-lab-v1-B07,3,shallow_answer,tied,1.先明确两条路：休眠(短期离开/未来可能回来)vs正式清算(确定回国) | 2.清算程序：股东决议->法务局解散登记->税务申告->社会保险资格丧失手续 | 3.入管届出：活动停止后14天内提交所属機関届出，不要带未清算状态直接出境 | 4.清算通常需数月，须与在留期限和出国日程对应规划 | 5.同时咨询行政书士+税理士，两类手续并行推进,0.75,TEBIQ强调了带未清算状态离开日本的风险和入管14天届出义务，这些是关键提醒。但未提及休眠/保留选项(适合短期回国且未来可能返回的情况)，DeepSeek有完整对比分析。清算程序细节(税务申告步骤、社会保险手续)也明显薄于DeepSeek。整体判定tied，但在程序完整度上有shallow_answer倾向。
eval-lab-v1-B08,4,over_safe_generic,strict_added,1.先厘清核心变量：被换的是不是你自己 | 2.你辞任+完全退出经营：14天内届出活動停止，3个月内须转其他活动或变更签证 | 3.你辞任但仍参与管理职务：一般无需届出，但须保留会议记录/业务邮件等実態证明 | 4.换的是别人你不变：无需向入管单独通知 | 5.角色不明确或辞任后无变更计划：建议找行政书士确认,0.82,TEBIQ首先厘清被换的是不是自己这一核心变量，结构清晰。继续参与管理时应保留会议记录和业务邮件作为実態证明这一实务建议是DeepSeek没有的增量，对实际备审很有价值。结尾建议找行政书士略显套路化，但整体答案质量优于DeepSeek，判定strict_added。
eval-lab-v1-B09,4,missing_fact_not_asked,strict_added,1.两项义务独立：法务局(本店移転登记，两周内)和入管(所属機構届出，14天内)都必须办 | 2.法务局是公司法义务，与在留资格无关；入管是报告义务 | 3.新地址若为自宅：触发2025年改正自宅兼用禁止规定，需事前评估 | 4.行动顺序：先法务局拿履历事项证明书，再入管届出 | 5.跨都道府県移転时入管管辖变更，需向新管辖局提交,0.84,答案直接回答两项都要办，解释了两者不同法律依据，给出清晰行动顺序。关键增量是新政背景下的自宅兼用风险提醒，DeepSeek未提及。略有欠缺：未提及跨都道府県移転时入管管辖变更问题(DeepSeek有提醒)，属missing_fact_not_asked，但不影响整体判断，判定strict_added。
eval-lab-v1-B10,3,"over_safe_generic,shallow_answer",tied,1.建议现在就准备：外观(建筑入口+信箱+公司名牌)+室内(办公设备+日常经营痕迹，避免空荡) | 2.名牌/看板须设置并拍照，无名牌容易被怀疑事業所実在性 | 3.过渡措置期内事業所独立性仍是更新基础审查点 | 4.提交时机：更新申请时一并提交，不要等被要求补材料 | 5.与行政书士事前确认本次具体材料清单，提前备妥更主动,0.72,TEBIQ回答了准备方向并引入过渡措置背景，但整体过于保守——没有明确说现在就该准备什么，也没有说明照片应拍哪些内容(外观/室内/名牌各有侧重)。最后把问题抛给行政书士而不提供用户能直接操作的信息，有over_safe_generic倾向。DeepSeek虽有截断但已有内容更直接。判定tied。
eval-lab-v1-C01,3,shallow_answer,tied,1.换雇主：14天内必须向入管提交所属機関等届出（离职+入职各一次）| 2.工作内容变化出资格范围：不是届出能解决的，须申请在留资格变更 | 3.同一法人内部调动但内容大幅变化：须咨询是否需变更申请 | 4.3个月内未从事资格活动会触发取消事由 | 5.确认新工作雇用契约业务内容是否仍在技人国范围,0.78,TEBIQ覆盖了14天届出义务、工作内容匹配要求和3个月空窗期规则等核心点，整体方向正确。但DeepSeek更完整地列出了3种情景（跨资格变更/换雇主同资格/同法人内调动），TEBIQ遗漏了同一法人内部调动的处理情景。整体信息密度相当，判定tied，同法人调动遗漏属shallow_answer。
eval-lab-v1-C02,3,missing_fact_not_asked,tied,1.离职后14天内：提交契約終了届出（义务，不做影响后续更新） | 2.3个月空窗期规则：积极求职属正当理由，保留求职记录 | 3.超3个月无正当活动：入管可启动取消程序（非自动但实务有效） | 4.过渡选项：申请特定活動（継続就職活動）以合法延续在留 | 5.在留期限快到：必须优先处理，不能等找到工作再看,0.76,TEBIQ覆盖了14天届出义务、3个月规则和特定活動过渡选项，整体方向正确。但未提及积极求职属于正当理由这一重要细节（这能让焦虑的用户知道正在找工作不会立刻被取消），DeepSeek明确解释了这一点。属missing_fact_not_asked。两者信息密度相当，判定tied。
